Descripcion;Importe;Tipo;Categoria
compra servicio online Aficiones;198.68;2;Aficiones
cargo servicio online Aficiones;180.46;2;Aficiones
compra servicio online Aficiones;218.34;2;Aficiones
movimiento comercio local Aficiones;227.81;2;Aficiones
compra comercio local Aficiones;216.77;2;Aficiones
compra comercio local Aficiones;116.87;2;Aficiones
cargo proveedor habitual Aficiones;248.63;2;Aficiones
pago tarjeta servicio online Aficiones;76.29;2;Aficiones
pago tarjeta comercio local Aficiones;151.01;2;Aficiones
ticket proveedor habitual Aficiones;81.52;2;Aficiones
cargo proveedor habitual Aficiones;272.81;2;Aficiones
cargo proveedor habitual Aficiones;315.11;2;Aficiones
cargo proveedor habitual Aficiones;274.77;2;Aficiones
factura comercio local Aficiones;123.11;2;Aficiones
cargo servicio online Aficiones;346.52;2;Aficiones
ticket servicio online Aficiones;338.20;2;Aficiones
ticket comercio local Aficiones;239.85;2;Aficiones
pago tarjeta servicio online Aficiones;243.84;2;Aficiones
ticket comercio local Aficiones;197.15;2;Aficiones
ticket comercio local Aficiones;294.58;2;Aficiones
pago tarjeta servicio online Aficiones;228.96;2;Aficiones
factura proveedor habitual Aficiones;209.00;2;Aficiones
movimiento servicio online Aficiones;159.86;2;Aficiones
factura comercio local Aficiones;21.78;2;Aficiones
cargo servicio online Aficiones;206.85;2;Aficiones
ticket servicio online Aficiones;283.43;2;Aficiones
movimiento servicio online Aficiones;229.38;2;Aficiones
pago tarjeta servicio online Aficiones;261.37;2;Aficiones
ticket comercio local Aficiones;295.09;2;Aficiones
factura servicio online Aficiones;187.98;2;Aficiones
pago tarjeta proveedor habitual Aficiones;208.06;2;Aficiones
cargo proveedor habitual Aficiones;127.17;2;Aficiones
compra comercio local Aficiones;135.01;2;Aficiones
movimiento proveedor habitual Aficiones;99.79;2;Aficiones
pago tarjeta servicio online Aficiones;272.16;2;Aficiones
movimiento proveedor habitual Aficiones;115.30;2;Aficiones
compra proveedor habitual Aficiones;83.52;2;Aficiones
pago tarjeta comercio local Aficiones;135.09;2;Aficiones
movimiento proveedor habitual Aficiones;328.05;2;Aficiones
pago tarjeta comercio local Aficiones;122.57;2;Aficiones
movimiento servicio online Aficiones;246.29;2;Aficiones
cargo comercio local Aficiones;328.41;2;Aficiones
pago tarjeta comercio local Aficiones;207.99;2;Aficiones
movimiento comercio local Aficiones;14.85;2;Aficiones
compra servicio online Aficiones;215.06;2;Aficiones
cargo comercio local Aficiones;241.79;2;Aficiones
ticket proveedor habitual Aficiones;281.82;2;Aficiones
factura proveedor habitual Aficiones;237.11;2;Aficiones
pago tarjeta comercio local Aficiones;210.16;2;Aficiones
cargo servicio online Aficiones;29.50;2;Aficiones
movimiento proveedor habitual Aficiones;289.20;2;Aficiones
cargo comercio local Aficiones;141.37;2;Aficiones
pago tarjeta proveedor habitual Aficiones;42.58;2;Aficiones
ticket proveedor habitual Aficiones;281.78;2;Aficiones
ticket proveedor habitual Aficiones;86.76;2;Aficiones
pago tarjeta comercio local Aficiones;259.24;2;Aficiones
ticket servicio online Aficiones;158.34;2;Aficiones
factura servicio online Aficiones;94.80;2;Aficiones
ticket proveedor habitual Aficiones;249.51;2;Aficiones
ticket proveedor habitual Aficiones;102.79;2;Aficiones
pago tarjeta servicio online Alcohol y tabaco;82.96;2;Alcohol y tabaco
ticket comercio local Alcohol y tabaco;11.45;2;Alcohol y tabaco
ticket proveedor habitual Alcohol y tabaco;170.05;2;Alcohol y tabaco
pago tarjeta proveedor habitual Alcohol y tabaco;272.90;2;Alcohol y tabaco
movimiento proveedor habitual Alcohol y tabaco;49.52;2;Alcohol y tabaco
factura servicio online Alcohol y tabaco;44.96;2;Alcohol y tabaco
compra servicio online Alcohol y tabaco;175.07;2;Alcohol y tabaco
cargo servicio online Alcohol y tabaco;218.42;2;Alcohol y tabaco
factura servicio online Alcohol y tabaco;9.49;2;Alcohol y tabaco
factura proveedor habitual Alcohol y tabaco;135.66;2;Alcohol y tabaco
movimiento proveedor habitual Alcohol y tabaco;95.47;2;Alcohol y tabaco
movimiento servicio online Alcohol y tabaco;147.49;2;Alcohol y tabaco
pago tarjeta comercio local Alcohol y tabaco;270.97;2;Alcohol y tabaco
movimiento comercio local Alcohol y tabaco;195.89;2;Alcohol y tabaco
cargo proveedor habitual Alcohol y tabaco;5.70;2;Alcohol y tabaco
compra proveedor habitual Alcohol y tabaco;170.16;2;Alcohol y tabaco
compra comercio local Alcohol y tabaco;80.71;2;Alcohol y tabaco
ticket comercio local Alcohol y tabaco;129.88;2;Alcohol y tabaco
movimiento servicio online Alcohol y tabaco;264.75;2;Alcohol y tabaco
cargo proveedor habitual Alcohol y tabaco;265.78;2;Alcohol y tabaco
pago tarjeta comercio local Alcohol y tabaco;89.76;2;Alcohol y tabaco
pago tarjeta comercio local Alcohol y tabaco;101.33;2;Alcohol y tabaco
factura comercio local Alcohol y tabaco;113.40;2;Alcohol y tabaco
movimiento comercio local Alcohol y tabaco;81.02;2;Alcohol y tabaco
factura servicio online Alcohol y tabaco;8.50;2;Alcohol y tabaco
