DiaMes;DiasMes;PorcentajeMesTranscurrido;GastoAcumulado;IngresosMes;MediaGasto3Meses;GastoMedioDiarioActual;Mes;GastoFinalMes
5;31;0.1613;120;1200;650;24;1;690
10;31;0.3226;260;1200;650;26;1;710
15;31;0.4839;390;1200;650;26;1;720
20;31;0.6452;520;1200;650;26;1;740
25;31;0.8065;640;1200;650;25.6;1;760
7;28;0.2500;180;1300;720;25.71;2;760
14;28;0.5000;360;1300;720;25.71;2;775
21;28;0.7500;590;1300;720;28.10;2;820
6;31;0.1935;90;1100;480;15;3;500
12;31;0.3871;210;1100;480;17.5;3;520
18;31;0.5806;330;1100;480;18.33;3;535
24;31;0.7742;430;1100;480;17.92;3;545
8;30;0.2667;300;1500;900;37.5;4;980
15;30;0.5000;520;1500;900;34.67;4;990
22;30;0.7333;760;1500;900;34.55;4;1030
28;30;0.9333;930;1500;900;33.21;4;1045
5;31;0.1613;240;1600;1000;48;5;1120
10;31;0.3226;500;1600;1000;50;5;1180
15;31;0.4839;760;1600;1000;50.67;5;1230
20;31;0.6452;980;1600;1000;49;5;1260
25;31;0.8065;1110;1600;1000;44.4;5;1280
6;30;0.2000;420;1800;1200;70;6;1450
12;30;0.4000;780;1800;1200;65;6;1500
18;30;0.6000;1080;1800;1200;60;6;1540
24;30;0.8000;1320;1800;1200;55;6;1580
7;31;0.2258;160;1250;700;22.86;7;735
14;31;0.4516;350;1250;700;25;7;760
21;31;0.6774;520;1250;700;24.76;7;775
28;31;0.9032;690;1250;700;24.64;7;790
5;31;0.1613;380;1700;950;76;8;1220
10;31;0.3226;680;1700;950;68;8;1300
15;31;0.4839;880;1700;950;58.67;8;1325
20;31;0.6452;1090;1700;950;54.5;8;1360
25;31;0.8065;1260;1700;950;50.4;8;1385
6;30;0.2000;130;1150;560;21.67;9;590
12;30;0.4000;260;1150;560;21.67;9;610
18;30;0.6000;410;1150;560;22.78;9;630
24;30;0.8000;515;1150;560;21.46;9;645
7;31;0.2258;260;1400;820;37.14;10;890
14;31;0.4516;470;1400;820;33.57;10;910
21;31;0.6774;690;1400;820;32.86;10;940
28;31;0.9032;850;1400;820;30.36;10;955
5;30;0.1667;210;1350;780;42;11;860
10;30;0.3333;390;1350;780;39;11;890
15;30;0.5000;560;1350;780;37.33;11;910
20;30;0.6667;720;1350;780;36;11;935
25;30;0.8333;850;1350;780;34;11;950
6;31;0.1935;520;1900;1250;86.67;12;1620
12;31;0.3871;920;1900;1250;76.67;12;1690
18;31;0.5806;1260;1900;1250;70;12;1740
24;31;0.7742;1490;1900;1250;62.08;12;1780
29;31;0.9355;1690;1900;1250;58.28;12;1810
9;31;0.2903;720;2100;1500;80;5;1880
16;31;0.5161;1160;2100;1500;72.5;5;1950
23;31;0.7419;1530;2100;1500;66.52;5;2010
8;30;0.2667;80;1000;420;10;4;430
16;30;0.5333;210;1000;420;13.13;4;450
24;30;0.8000;340;1000;420;14.17;4;465
